2026-03-18 21:10:24 | ERROR | Нет файла в запросе
2026-03-18 21:10:24 | ERROR | Имя файла пустое
2026-03-18 21:10:24 | ERROR | Поле для пароля пустое
2026-03-18 21:10:24 | ERROR | Неизвестный тип файла
2026-03-18 21:10:24 | DEBUG | Временный файл удалён
2026-03-18 21:10:24 | INFO | Тип файла: zip
2026-03-18 21:10:24 | INFO | Начинаем работу с zip-архивом
2026-03-18 21:10:24 | SUCCESS | Распаковка завершена
2026-03-18 21:10:24 | DEBUG | Временный файл удалён
2026-03-18 21:10:24 | INFO | Тип файла: rar
2026-03-18 21:10:24 | INFO | Начинаем работу с rar-архивом
2026-03-18 21:10:24 | SUCCESS | Распаковка завершена
2026-03-18 21:10:24 | DEBUG | Временный файл удалён
2026-03-18 21:10:24 | INFO | Тип файла: 7z
2026-03-18 21:10:24 | INFO | Начинаем работу с 7z-архивом
2026-03-18 21:10:25 | SUCCESS | Распаковка завершена
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: ole
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: ole
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: ole
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: pdf
2026-03-18 21:10:25 | DEBUG | Мы прочитали файл
2026-03-18 21:10:25 | INFO | Cохраняем файл по адресу ../temp/decrypted_test_pdf.pdf
2026-03-18 21:10:25 | SUCCESS | Запись файла прошла успешно
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: zip
2026-03-18 21:10:25 | INFO | Начинаем работу с zip-архивом
2026-03-18 21:10:25 | ERROR | Неверный пароль для zip
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: rar
2026-03-18 21:10:25 | INFO | Начинаем работу с rar-архивом
2026-03-18 21:10:25 | ERROR | Неверный пароль для rar
2026-03-18 21:10:25 | DEBUG | Временный файл удалён
2026-03-18 21:10:25 | INFO | Тип файла: 7z
2026-03-18 21:10:25 | INFO | Начинаем работу с 7z-архивом
2026-03-18 21:10:26 | ERROR | Неверный пароль для 7z
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: ole
2026-03-18 21:10:26 | ERROR | Неверный пароль
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: ole
2026-03-18 21:10:26 | ERROR | Неверный пароль
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: ole
2026-03-18 21:10:26 | ERROR | Неверный пароль
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: pdf
2026-03-18 21:10:26 | DEBUG | Мы прочитали файл
2026-03-18 21:10:26 | ERROR | Неверный пароль
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: pdf
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: zip
2026-03-18 21:10:26 | INFO | Начинаем работу с zip-архивом
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: 7z
2026-03-18 21:10:26 | INFO | Начинаем работу с 7z-архивом
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: rar
2026-03-18 21:10:26 | INFO | Начинаем работу с rar-архивом
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: docx
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: pptx
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | INFO | Тип файла: xlsx
2026-03-18 21:10:26 | ERROR | Файл не зашифрован
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
2026-03-18 21:10:26 | ERROR | Файл пуст
2026-03-18 21:10:26 | DEBUG | Временный файл удалён
