x
2026-04-01 14:29:46 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 14:29:46 | INFO | Запрос был выполнен за 0.5984804630279541 | read_white_list
2026-04-01 14:30:25 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 14:30:26 | INFO | Запрос был выполнен за 0.5806498527526855 | read_white_list
2026-04-01 14:30:38 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 14:30:38 | INFO | Запрос был выполнен за 0.28293895721435547 | read_white_list
2026-04-01 14:32:16 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 14:32:17 | INFO | Запрос был выполнен за 0.6786563396453857 | read_white_list
2026-04-01 15:37:08 | SUCCESS | Таблицы удалены | <module>
2026-04-01 15:38:11 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 15:38:46 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 15:39:19 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 15:41:11 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 15:41:18 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 15:41:18 | SUCCESS | Таблицы удалены | <module>
2026-04-01 15:42:12 | INFO | 1 Миллион записей в белый лист  | generate_test_data
2026-04-01 15:43:07 | INFO | 1 Миллион записей в чёрный лист  | generate_test_data
2026-04-01 15:56:19 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 15:56:20 | SUCCESS | Таблицы удалены | <module>
2026-04-01 16:04:43 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 16:04:43 | INFO | Таблицы удалены | <module>
2026-04-01 16:14:25 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 16:14:25 | INFO | Таблицы удалены | <module>
2026-04-01 16:19:55 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 16:19:55 | ERROR | Неизвестная ошибка добавления(psycopg2.errors.SyntaxError) syntax error at or near "NOT"
LINE 1: CREATE EXTENSION OF NOT EXISTS pg_trgm
                            ^

[SQL: CREATE EXTENSION OF NOT EXISTS pg_trgm]
(Background on this error at: https://sqlalche.me/e/20/f405) | <module>
2026-04-01 16:19:55 | INFO | Таблицы удалены | <module>
2026-04-01 19:42:37 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:42:37 | INFO | Добавление trgm | <module>
2026-04-01 19:42:37 | INFO | Таблицы удалены | <module>
2026-04-01 19:45:46 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:45:46 | INFO | Добавление trgm | <module>
2026-04-01 19:45:46 | INFO | Таблицы удалены | <module>
2026-04-01 19:46:44 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:46:44 | INFO | Добавление trgm | <module>
2026-04-01 19:46:44 | INFO | Таблицы удалены | <module>
2026-04-01 19:48:20 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:48:20 | INFO | Добавление trgm | <module>
2026-04-01 19:48:20 | INFO | Таблицы удалены | <module>
2026-04-01 19:48:20 | INFO | Данные созданы | <module>
2026-04-01 19:50:28 | INFO | 1 Миллион записей в белый лист  | generate_test_data
2026-04-01 19:52:35 | INFO | 1 Миллион записей в чёрный лист  | generate_test_data
2026-04-01 19:53:21 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:53:21 | INFO | Добавление trgm | <module>
2026-04-01 19:53:21 | INFO | Таблицы удалены | <module>
2026-04-01 19:53:21 | INFO | Данные созданы | <module>
2026-04-01 19:53:22 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:53:22 | INFO | Добавление trgm | <module>
2026-04-01 19:53:22 | INFO | Таблицы удалены | <module>
2026-04-01 19:53:22 | INFO | Данные созданы | <module>
2026-04-01 19:53:25 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 19:53:25 | INFO | Запрос был выполнен за 0.03856492042541504 | read_white_list
2026-04-01 19:53:35 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 19:53:35 | INFO | Запрос был выполнен за 0.016686201095581055 | read_white_list
2026-04-01 19:53:39 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 19:53:39 | INFO | Запрос был выполнен за 0.01126861572265625 | read_white_list
2026-04-01 19:53:57 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:53:57 | INFO | Добавление trgm | <module>
2026-04-01 19:53:57 | INFO | Данные созданы | <module>
2026-04-01 19:53:58 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:53:58 | INFO | Добавление trgm | <module>
2026-04-01 19:53:58 | INFO | Данные созданы | <module>
2026-04-01 19:54:57 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:54:57 | INFO | Добавление trgm | <module>
2026-04-01 19:54:58 | INFO | Данные созданы | <module>
2026-04-01 19:56:13 | INFO | 1 Миллион записей в белый лист  | generate_test_data
2026-04-01 19:58:19 | INFO | 1 Миллион записей в чёрный лист  | generate_test_data
2026-04-01 19:58:35 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:58:35 | INFO | Добавление trgm | <module>
2026-04-01 19:58:35 | INFO | Данные созданы | <module>
2026-04-01 19:58:36 | INFO | Ошибка: База данных уже существует | <module>
2026-04-01 19:58:36 | INFO | Добавление trgm | <module>
2026-04-01 19:58:36 | INFO | Данные созданы | <module>
2026-04-01 19:58:43 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 19:58:44 | INFO | Запрос был выполнен за 0.06400895118713379 | read_white_list
2026-04-01 20:00:55 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
2026-04-01 20:00:55 | INFO | Запрос был выполнен за 0.03979134559631348 | read_black_list
2026-04-02 01:05:43 | INFO | Ошибка: База данных уже существует | <module>
2026-04-02 01:05:43 | INFO | Добавление trgm | <module>
2026-04-02 01:05:43 | INFO | Данные созданы | <module>
2026-04-02 01:05:44 | INFO | Ошибка: База данных уже существует | <module>
2026-04-02 01:05:44 | INFO | Добавление trgm | <module>
2026-04-02 01:05:44 | INFO | Данные созданы | <module>
2026-04-02 01:05:57 | INFO | Обнаружен filter_column осуществляем поиск | return_data_from_table
